,delito,categoria,calidad,competencia,año,mes,fecha,hora,alcaldia,colonia
55612,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Octubre,2022-10-14,12:00:00,AZCAPOTZALCO,DEL MAESTRO
55622,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,08:30:00,IZTAPALAPA,SANTA MARTHA ACATITLA
55625,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Marzo,2022-03-01,14:03:00,IZTAPALAPA,PASEOS DE CHURUBUSCO
55633,"NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,10:35:00,VENUSTIANO CARRANZA,PUEBLA
55636,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Febrero,2022-02-03,04:26:00,IZTAPALAPA,PASEOS DE CHURUBUSCO
55652,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,10:00:00,GUSTAVO A. MADERO,GERTRUDIS SANCHEZ 1A SECCION
55655,"NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,11:05:00,GUSTAVO A. MADERO,SAN JUAN DE ARAGON (PBLO)
55664,USO DE DOCUMENTO FALSO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Agosto,2022-08-19,12:00:00,CUAUHTEMOC,CUAUHTEMOC
55674,ROBO A REPARTIDOR SIN VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-18,15:20:00,MIGUEL HIDALGO,TACUBA
55680,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,08:45:00,CUAUHTEMOC,DOCTORES V
